"
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Journal History,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,,,,,,,,
,,,,,01 Dec 2022 04:00:00 to 02 Dec 2022 03:59:59,,,
,,,,,,,,
,,,,,,,,
Journal History Enquiry Results,,,,,,,,
,,,,,,,,
,,,,,,,,
2022-12-01 09:47:33,,,202.0,189475.0,TODD K,,,6364
,,,,,,,,
NS1,,NO SALE,,,,,0,
,,,,,,,,
,,,,,,,,
2022-12-01 09:49:05,,,201.0,614382.0,TODD K,,,
,,,,,,,,
NS1,,NO SALE,,,,,0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2022-12-01 10:11:42,,,202.0,189476.0,TODD K,,,
,,,,,,,,
6310234,,JDANIEL AMERICAN SERVE CAN 4PK,,,,,29.990000000000002,
,,,,,,,,
,,GST Subtotal,,,,,29.990000000000002,
,,,,,,,,
,,GST Amount,,,,,2.73,
,,,,,,,,
,,EFTPOS,,,,,29.990000000000002,
,,,,,,,,
,,,,,,,,
2022-12-01 10:15:28,,,202.0,189477.0,TODD K,,,
,,,,,,,,
6020019,,XXXX GOLD STUB 6PK,,,,,16.490000000000002,
,,,,,,,,
,,,,,,,,
,,GST Subtotal,,,,,16.490000000000002,
,,,,,,,,
,,GST Amount,,,,,1.5,
,,,,,,,,
,,EFTPOS,,,,,16.490000000000002,
,,,,,,,,
,,,,,,,,
2022-12-01 10:18:53,,,202.0,189478.0,TODD K,,,
,,,,,,,,
6311286,,BUNDY LEMON LIM BITTER CAN 6PK,,,,,29.990000000000002,
,,,,,,,,
4900,,-9.99  BUNDY 2 FOR $40,,,,,,
,,,,,,,,
,,,,,,,,
6310076,,BUNDY COLA 4.6% CAN 6PK,,,,,29.990000000000002,
,,,,,,,,
4900,,-9.99  BUNDY 2 FOR $40,,,,,,
,,,,,,,,
4900,,BUNDY 2 FOR $40,,,,,-19.98,
,,,,,,,,
,,GST Subtotal,,,,,40,
,,,,,,,,
,,GST Amount,,,,,3.64,
,,,,,,,,
,,CASH,,,,,40,
,,,,,,,,
,,,,,,,,
2022-12-01 10:37:04,,,201.0,614383.0,TODD K,,,
,,,,,,,,
6310257,,JDANIEL DBL JACK CAN 4PK,,,,,27.490000000000002,
,,,,,,,,
6361,,-0.59  P47 1 FOR $26.90,,,,,,
,,,,,,,,
6361,,P47 1 FOR $26.90,,,,,-0.59,
,,,,,,,,
,,,,,,,,
,,GST Subtotal,,,,,26.900000000000002,
,,,,,,,,
,,GST Amount,,,,,2.45,
,,,,,,,,
,,CASH,,,,,25,
,,,,,,,,
,,EFTPOS,,,,,1.9000000000000001,
,,,,,,,,
,,,,,,,,
2022-12-01 10:37:18,,,201.0,614384.0,TODD K,,,
,,,,,,,,
6020047,,HAHN SUPER DRY STUB 6PK,,,,,18.990000000000002,
,,,,,,,,
,,GST Subtotal,,,,,18.990000000000002,
,,,,,,,,
,,GST Amount,,,,,1.73,
,,,,,,,,
,,EFTPOS,,,,,18.990000000000002,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2022-12-01 10:41:30,,,202.0,189479.0,TODD K,,,
,,,,,,,,
