Unnamed: 9,Unnamed: 10,Unnamed: 11,Printed 03/10/2024 09:21:56,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,
,,,Page 1 of 23,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,ICE 5kg BAG,,,,,3.99,
,-0.61  SKIRMISH/BSHOP,,,,,,
,,,,,,,
6311270,,FIREBALL APPLE 6.6% CAN SGL,,,,,9.5
,,,,,,,
,-1.45  SKIRMISH/BSHOP,,,,,,
,,,,,,,
6311270,,FIREBALL APPLE 6.6% CAN SGL,,,,,9.5
,,,,,,,
,-1.44  SKIRMISH/BSHOP,,,,,,
,,,,,,,
,SKIRMISH/BSHOP,,,,,-3.5,
,,,,,,,
,,,,,,,
,GST Subtotal,,,,,19.490000000000002,
,,,,,,,
,GST Amount,,,,,1.77,
,,,,,,,
,EFTPOS,,,,,19.490000000000002,
,,,,,,,
,,,,,,,
2022-12-16 10:51:46,,,201,616338,TODD K,,
,,,,,,,
6030078,,GREAT NTHN MID CAN 6PK,,,,,15.99
,,,,,,,
,GST Subtotal,,,,,15.99,
,,,,,,,
,GST Amount,,,,,1.45,
,,,,,,,
,EFTPOS,,,,,15.99,
,,,,,,,
,,,,,,,
,,,,,,,
2022-12-16 10:53:22,,,201,616339,TODD K,,
,,,,,,,
,BALTER XPA CAN CTN,,,,,66.99,
,-9.99  P49 1 FOR $57.00,,,,,,
,,,,,,,
6311289,,CBCO BERTIE GINGER CAN 6PK,,,,,27.990000000000002
,,,,,,,
,,,,,,,
,BAILEYS ORIGINAL 700ML,,,,,38.99,
,,,,,,,
5385,,-6.99  P49 1 FOR $32.00,,,,,
,,,,,,,
,,,,,,,
6500006,,ICE 5kg BAG,,,,,3.99
,,,,,,,
5385,,P49 1 FOR $32.00,,,,,-6.99
,,,,,,,
6715,,P49 1 FOR $57.00,,,,,-9.99
,,,,,,,
,,,,,,,
,GST Subtotal,,,,,120.98,
,,,,,,,
